path,handler,module,function,file,documented
/health,api::health::health_check,health,health_check,src/api/health.rs,True
/api/cluster/status,api::health::cluster_status,health,cluster_status,src/api/health.rs,True
/api/topologies,api::topologies::list,topologies,list,src/api/topologies.rs,True
/api/topologies,api::topologies::create,topologies,create,src/api/topologies.rs,True
/api/topologies/:id,api::topologies::get,topologies,get,src/api/topologies.rs,True
/api/topologies/:id,api::topologies::update,topologies,update,src/api/topologies.rs,True
/api/topologies/:id,api::topologies::delete,topologies,delete,src/api/topologies.rs,True
/api/topologies/:id/duplicate,api::topologies::duplicate,topologies,duplicate,src/api/topologies.rs,True
/api/topologies/:id/deploy,api::deploy::deploy,deploy,deploy,src/api/deploy.rs,True
/api/topologies/:id/deploy,api::deploy::destroy,deploy,destroy,src/api/deploy.rs,True
/api/topologies/:id/status,api::deploy::status,deploy,status,src/api/deploy.rs,True
/api/topologies/:id/chaos,api::chaos::list,chaos,list,src/api/chaos.rs,True
/api/topologies/:id/chaos,api::chaos::delete_all,chaos,delete_all,src/api/chaos.rs,True
/api/topologies/:id/chaos/stop,api::chaos::stop_all,chaos,stop_all,src/api/chaos.rs,True
/api/chaos,api::chaos::create,chaos,create,src/api/chaos.rs,True
/api/topologies/:topology_id/apps,api::applications::deploy_topology,applications,deploy_topology,src/api/applications.rs,True
/api/topologies/:topology_id/apps/draft,api::applications::create_draft,applications,create_draft,src/api/applications.rs,True
/api/topologies/:topology_id/apps,api::applications::list_by_topology,applications,list_by_topology,src/api/applications.rs,True
/api/topologies/:topology_id/apps/:app_id,api::applications::update_application,applications,update_application,src/api/applications.rs,True
/api/topologies/:topology_id/nodes/:node_id/apps,api::applications::deploy,applications,deploy,src/api/applications.rs,True
/api/topologies/:topology_id/nodes/:node_id/apps,api::applications::list_by_node,applications,list_by_node,src/api/applications.rs,True
/api/topologies/:topology_id/apps/:app_id,api::applications::get,applications,get,src/api/applications.rs,True
/api/topologies/:topology_id/apps/:app_id,api::applications::uninstall,applications,uninstall,src/api/applications.rs,True
/api/topologies/:topology_id/apps/:app_id/logs,api::applications::logs,applications,logs,src/api/applications.rs,True
/api/topologies/:topology_id/apps/:app_id/status,api::applications::status,applications,status,src/api/applications.rs,True
/ws/events,api::ws::ws_handler,ws,ws_handler,src/api/ws.rs,True
/metrics,api::metrics::metrics_handler,metrics,metrics_handler,src/api/metrics.rs,True
/api/events,api::events::list_events,events,list_events,src/api/events.rs,True
/api/events,api::events::create_event,events,create_event,src/api/events.rs,True
/api/events/stats,api::events::event_stats,events,event_stats,src/api/events.rs,True
/api/presets,api::presets::list_presets,presets,list_presets,src/api/presets.rs,True
/api/presets,api::presets::create_preset,presets,create_preset,src/api/presets.rs,True
/api/presets/:id,api::presets::get_preset,presets,get_preset,src/api/presets.rs,True
/api/presets/:id,api::presets::delete_preset,presets,delete_preset,src/api/presets.rs,True
/api/registries,api::registry::list_registries,registry,list_registries,src/api/registry.rs,True
/api/registries,api::registry::create_registry,registry,create_registry,src/api/registry.rs,True
/api/registries/default,api::registry::get_default_registry,registry,get_default_registry,src/api/registry.rs,True
/api/registries/:id,api::registry::get_registry,registry,get_registry,src/api/registry.rs,True
/api/registries/:id,api::registry::update_registry,registry,update_registry,src/api/registry.rs,True
/api/registries/:id,api::registry::delete_registry,registry,delete_registry,src/api/registry.rs,True
/api/registries/:id/test,api::registry::test_registry,registry,test_registry,src/api/registry.rs,True
/api/topologies/:id/tests,api::test_runner::list_tests,test_runner,list_tests,src/api/test_runner.rs,True
/api/topologies/:id/tests,api::test_runner::start_test,test_runner,start_test,src/api/test_runner.rs,True
/api/v1/topologies,api::topologies::list,topologies,list,src/api/topologies.rs,True
/api/v1/topologies,api::topologies::create,topologies,create,src/api/topologies.rs,True
/api/v1/topologies/:id,api::topologies::get,topologies,get,src/api/topologies.rs,True
